Geographic_region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,0.14,0.16,0.86,0.35,0.7,0.49,0.55,0.59,0.34,0.94,1.61,1.07,0.53
Belgium,0.53,0.58,0.52,0.27,0.58,0.48,0.39,0.16,0.09,0.17,0.12,0.19,0.15
Bulgaria,0.03,0,0.05,0,0.11,0,0.03,0.03,0.03,0,0.08,0.03,0.03
Croatia,0.04,0.04,0.22,0.05,0,0,0,0.09,0.18,0.05,0.14,0,0.05
Cyprus,,,,,,,,,0,0,0,0,0
Czechia,0,0.02,0.04,0.02,0.09,0.04,0.04,0.04,0.06,0.13,0.11,0.06,0.13
Denmark,,,,,,,,0.28,0.21,0.17,0.41,0.27,0.27
Estonia,,,,,,,,,,,,,
Finland,0.3,0.11,0.07,0.11,0.69,0.14,0.14,0.11,0.25,0.29,0.11,0.43,0.36
France,0.35,0.38,0.33,0.36,0.38,0.49,0.47,0.42,0.47,0.42,0.55,0.69,0.79
Germany,0.13,0.16,0.18,0.16,0.18,0.18,0.18,0.18,0.2,0.2,0.23,0.25,0.26
Greece,,,,,,,,,0.05,0.04,0.09,0.05,0
Hungary,0.04,0,0.19,0.06,0.02,0.04,0.06,0.14,0.21,0.25,0.04,0.1,0.26
Italy,,,,,,,,,,,,,
Iceland,,,,,,,,,2.42,1.2,3.51,3.45,1.13
Ireland,,,,,,,,,,0.74,0.08,0.16,0.08
Latvia,,0.17,0.17,0.09,0.27,0,0.09,0,0.47,0.09,0.19,0.1,0.19
Liechtenstein,,0,0,0,0,0,0,0,0,,,,
Lithuania,,0.12,0.06,0.18,0.12,0,0,0,0.13,0,0.07,0,0
Luxembourg,,0.8,1.98,0.78,,,1.09,1.42,1.39,0.68,0.67,0.66,1.93
Malta,,,,,,,,,,,,,
Netherlands,0.3,0.3,0.18,0.12,0.3,0.11,0.11,0.13,0.11,0.12,0.08,0.09,0.03
Norway,0.19,0.04,0.12,0.06,0.16,0.28,0.31,0.31,0.39,0.54,0.42,0.26,0.41
Poland,,0.08,0.06,0.07,0.07,0,0.01,0,0.01,0.01,0.01,0.01,0
Portugal,0.13,0.09,0.09,0.13,0.05,0.16,0.05,0.13,0.04,0.06,0.11,0.07,0.06
Romania,,,,,,,,,,,,,
Slovakia,,,,,,0,0,0,0,0.04,0,0,0
Slovenia,0,0,0,0.1,0,0,0,0,0,0,0,0,0
Spain,,0.1,0.08,0.04,0.05,0.11,0.04,0.06,0.02,0.06,0.06,0.04,0.05
Sweden,0.29,0.35,0.28,0.4,0.42,0.94,0.72,0.8,1.02,0.92,1.15,1.49,1.77
