Geographic_region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,68.52,58.2,40.6,45.75,47.53,36.5,37.15,35.3,51.6,47.05,49.05,42.74,37.59
Belgium,59.64,60.13,58.02,56.33,52.4,53.98,54.7,11.6,13.45,15.51,15.73,17.29,14.33
Bulgaria,9.94,8.72,9.19,8.41,7.54,7.16,7.04,7.11,6.67,10,10.29,9.39,9.79
Croatia,14.93,11.89,7.57,7.73,6.59,7.63,5.71,8.04,7.32,5.98,6.31,7.2,6.75
Cyprus,,,,,,,,,0.48,0.24,0.24,0.23,0.46
Czechia,5.11,4.59,5.58,6.43,6.32,10.46,9.8,9.37,10.41,10.54,10.29,10.39,9.24
Denmark,,,,,,,,4.27,4.72,5.03,5.46,6.78,6.56
Estonia,,,,,,,,,,,,,
Finland,54.76,50.35,41.56,50.33,69.52,47.81,51.37,48.11,44.61,41.88,40.45,53.5,49.56
France,,24.81,23.53,23.79,29.58,30.15,32.66,34.7,37.71,39.57,44.91,48.47,45.94
Germany,84.03,67.74,49.14,49.49,46.49,46.22,45.72,44.25,47.34,45.55,56.16,55.55,54.19
Greece,,,,,,,,,,,,,
Hungary,3.77,6.57,11.29,9.59,9.76,9.31,4.29,3.47,,,,,
Iceland,,,,,,,,,,,,,
Ireland,,,,,,,,,,20.27,11.75,16.51,17.98
Italy,16.07,15.45,15.59,15.88,14.99,14.91,14.62,13.57,,,,,
Latvia,11.72,9.47,9.48,13.92,14.87,11.66,13.19,14.49,7.08,10.16,11.8,10.06,10.56
Liechtenstein,,,,,,,54.35,86.24,37.51,,,,
Lithuania,7.93,10.11,10.96,14.14,10.26,9.13,11.58,11.74,9.03,7.39,5.47,5.56,3.45
Luxembourg,,82.5,72.57,68.34,87.08,83.08,83.96,73.06,54.29,58.66,0,,0
Malta,14.3,19.06,24.25,20.35,23.59,19.06,17.89,26.54,,,,,
Netherlands,67.99,60.81,54.85,50.52,48.96,12.15,10.41,9.65,10.63,9.72,10.18,9.18,6.06
Norway,8.04,6.94,7.9,8.82,7.52,15.3,15.15,14.81,19.51,18.53,18.25,18.17,17.62
Poland,,,,,,0.97,0.97,0.98,1.18,1.07,0.95,1.09,0.95
Portugal,24.18,28.19,17.16,18.52,18.07,18.64,18.94,19.05,20.12,19.03,19.7,20.36,18.54
Romania,,,,,,,,,,,,,
Slovakia,,,,,,1.67,1.4,2.08,1.28,2.3,1.96,1.92,1.54
Slovenia,2.04,2.46,2.78,1.31,1.94,4.02,3.43,2.35,3.62,3.71,2.92,3.56,4.95
Spain,20.99,18.36,17.96,20.44,19.42,19.54,21.84,22.14,14.92,26.63,29.54,27.31,23.98
Sweden,27,29.36,29.24,29.89,28.2,53.88,57.91,59.77,65.81,72.13,75.37,78.6,77.6
