Geographic_region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,14.55,15.95,25.77,26.58,26.55,26.63,26.09,23.91,26.38,31.86,36.46,36.03,35.69
Belgium,25,25.17,24.15,23.7,22.63,19.01,17.13,8.04,7.58,9.02,8.43,8.84,6.62
Bulgaria,6.2,4.95,3.87,2.62,3.03,2.57,2.84,1.48,2.21,1.68,1.99,2.15,2.17
Croatia,6.98,4.72,5.59,4.74,4.99,8.46,8.49,6.67,6.77,6.78,6.31,7.6,6.75
Cyprus,,,,,,,,,5.33,3.84,6.17,5.38,5.29
Czechia,6.81,6.14,7.3,7.85,7.74,7.05,7.52,7.44,8.87,8.44,8.3,8.54,7.8
Denmark,,,,,,,,9.18,12.16,14.37,15.23,15.68,16.19
Estonia,,,,,,,,,,,,,
Finland,24.38,19.49,21.79,24.29,28.35,29.85,26.6,30.02,30.32,34.29,28.94,38.78,46.22
France,22.01,21.81,21.46,22.72,23.16,23.98,25.47,26.74,29.64,32.42,37.35,40.87,43.72
Germany,15.67,15.45,16.46,16.4,17.08,15.75,15.39,14.62,15.78,16.99,18.87,19.87,21.13
Greece,,,,,,,,,4.44,4.67,4.2,3.59,3.11
Hungary,5.91,4.91,6.16,5.52,5.29,5.28,5.42,7.69,8.38,7.23,4.28,6.61,9.42
Iceland,,,,,,,,,99.84,105.24,126.13,97.9,82.38
Ireland,,,,,,,,,,9.21,4.01,5.89,9.89
Italy,,,,,,,,,,,,,
Latvia,,9.97,20.39,3.69,4.92,9.28,10.47,8.56,12.83,16.64,16.07,13.9,15.55
Liechtenstein,,0,0,11.18,27.71,10.96,21.74,5.39,10.72,,,,
Lithuania,7.13,10.05,10.41,11.87,7.81,6.43,7.96,6.69,6.09,7.85,5.63,5.25,3.37
Luxembourg,,19.2,21.25,22.78,,,17.45,19.15,28.7,30,23.13,28.83,31.75
Malta,,,,,,,,,,,,,
Netherlands,16.03,15.02,12.19,11.04,9.36,8.37,7.63,7.31,6.71,7.1,6.97,7.62,5.62
Norway,7.66,7.81,8.3,7.15,7.7,15.89,15.35,14.93,16.47,19.21,18.44,18.77,19.47
Poland,,5.08,4.51,4.77,4.57,2.18,2.28,1.86,2.01,2.16,2.41,2.22,1.81
Portugal,4.83,4.82,3.83,2.77,2.92,3.18,2.9,2.88,2.96,3.15,3.27,3.11,2.39
Romania,,,,,,,,,,,,,
Slovakia,,,,,,1.75,2.39,2.01,1.89,2.07,2.26,2.29,1.99
Slovenia,4.26,6.77,4.63,3.75,4.52,3.73,4.02,3.82,2.83,4,3.21,3.27,3.9
Spain,,5.94,5.3,4.55,3.69,3.63,4.1,3.84,3.02,4.58,5.31,5.37,4.5
Sweden,24.58,28.08,30.6,28.99,28.74,55.08,57.6,57.53,58.45,64.69,70.14,82.45,88.17
