Geographic_region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Austria,3.21,3.16,1.49,1.79,1.67,0.95,1.08,1.1,0.95,1.03,1.74,1.33,1.3
Belgium,11.61,13.62,12.93,11.91,9.98,10.79,11.43,0.42,0.42,0.78,0.52,0.98,1.06
Bulgaria,0.44,0.21,0.34,0.26,0.19,0.13,0.22,0.24,0.19,0.27,0.44,0.36,0.03
Croatia,0.67,0.45,0.04,0.09,0.09,0.05,0.05,0.09,0.09,0.14,0.05,0,0.14
Cyprus,,,,,,,,,0,0,0,0,0
Czechia,0,0.01,0.02,0.01,0.05,0.9,0.73,1.06,0.91,0.8,0.95,1.39,1.2
Denmark,,,,,,,,0.04,0,0.07,0.1,0.1,0.03
Estonia,,,,,,,,,,,,,
Finland,1.37,1.11,1.03,0.95,1.31,1.7,1.73,1.26,1.9,0.79,0.75,3.94,1.61
France,,0.61,0.64,0.54,0.77,0.93,1.1,1.11,1.13,1.17,1.37,1.59,1.59
Germany,7.22,5.21,1.65,1.53,1.38,1.55,1.59,1.54,1.5,1.45,1.45,1.86,1.84
Greece,,,,,,,,,,,,,
Hungary,0,0.21,0.32,0.31,0.31,0.08,0.14,0.06,,,,,
Iceland,,,,,,,,,,,,,
Ireland,,,,,,,,,,0.74,0.12,0.24,0.2
Italy,0.32,0.36,0.29,0.3,0.36,0.36,0.33,0.33,,,,,
Latvia,0,0.26,0.17,0.53,0.27,0.64,0.28,0.28,0.09,0,0.48,0.1,0.19
Liechtenstein,,,,,,,0,26.58,0,,,,
Lithuania,0.06,0.29,0.24,0.18,0.12,0.5,0.31,0.38,0.06,0.13,0.07,0.27,0
Luxembourg,,32.17,30.87,33.05,28.51,31.27,41.16,22.42,1.74,6.12,0,,0
Malta,1.46,0.48,3.85,2.4,0.95,2.84,1.41,1.86,,,,,
Netherlands,2.23,1.56,1.55,1.49,1.24,0.14,0.05,0.09,0.06,0.03,0.05,0.09,0.06
Norway,0.13,0.17,0.19,0.16,0.1,0.44,0.24,0.35,0.43,0.11,0.61,0.26,0.45
Poland,,,,,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.02
Portugal,2.5,4.89,0.87,0.91,0.67,0.67,0.53,0.92,0.94,0.94,0.83,0.74,0.68
Romania,,,,,,,,,,,,,
Slovakia,,,,,,0.04,0,0.04,0.04,0.04,0,0,0
Slovenia,0,0.05,0,0,0,0,0,0,0,0.19,0,0.1,0
Spain,1.91,1.72,1.89,1.47,1.41,1.54,1.44,1.1,0.2,0.57,0.5,0.42,0.52
Sweden,0.71,0.81,1.02,0.96,0.94,1.8,1.99,1.87,2.05,2.21,2.6,2.22,2.67
